品番数,品目,除外理由
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,経年4年未満
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,経年4年未満
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,
1,T/F,
1,T/F,経年4年未満
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,
1,T/F,
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,車種
1,T/F,車種
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,車種
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,T/F,車種
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,車種
1,ﾃﾞﾌ,構成NG(ﾃﾞﾌ)
1,ﾃﾞﾌ,構成NG(ﾃﾞﾌ)
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,構成NG(ﾃﾞﾌ)
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,構成NG(ﾃﾞﾌ)
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,経年4年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,構成NG(ﾃﾞﾌ)
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,車種
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,車種
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,4年目～8年未満かつ直近3年受注有
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,K1コメント有、かつ終期から3年未満
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
1,ﾃﾞﾌ,8年目～かつ直近3年平均5個より多
